tidy_tweet,sentiment_vader,vader_result
fake issue collapsed desperate relying forgery congress campaign sh,55.60000000000001% negative,"{'neg': 0.556, 'neu': 0.444, 'pos': 0.0, 'compound': -0.7579}"
difference opposition bjp clear suspect army proud army heart beat,38.3% positive,"{'neg': 0.148, 'neu': 0.47, 'pos': 0.383, 'compound': 0.5423}"
opposition insult force time appeal fellow indian question opposition leader statem,24.8% negative,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.5106}"
opposition natural habitat terror apologist questioner armed force reprehensible statemen,24.5% negative,"{'neg': 0.245, 'neu': 0.576, 'pos': 0.18, 'compound': -0.2263}"
loyal courtier congress royal dynasty admits nation already knew congress unwilling respond force,32.5% positive,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.6486}"
trusted advisor guide congress president kick started pakistan national day celebration b,23.7% positive,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4767}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
neda,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
bjp central election committee meeting bjp hq new delhi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
h,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
biggest casualty dynastic politics institution press parliament soldier free speech,23.1% negative,"{'neg': 0.231, 'neu': 0.544, 'pos': 0.224, 'compound': -0.0258}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
bjp central election committee meeting bjp hq new delhi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
agenda part nda government economy report card v predecessor,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
greeting newly sworn chief minister goa dr pramod sawant team sure new leade,30.8% positive,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.5994}"
